[2023-02-20 13:47:10.090][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영덕중학교 발견 
[2023-02-20 13:47:10.091][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양덕여자중학교 발견 
[2023-02-20 13:47:10.091][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영덕중학교 발견 
[2023-02-20 13:47:10.091][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영천여자고등학교 발견 
[2023-02-20 13:47:10.091][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.091][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 삼호중학교 발견 
[2023-02-20 13:47:10.092][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.092][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 오금중학교 발견 
[2023-02-20 13:47:10.092][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 문산중학교 발견 
[2023-02-20 13:47:10.093][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 대구여자상업고등학교 발견 
[2023-02-20 13:47:10.093][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.094][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 개금여자중학교 발견 
[2023-02-20 13:47:10.094][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.095][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:67] - 개금여자중학교 발견 
[2023-02-20 13:47:10.095][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.095][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 신연중학교 발견 
[2023-02-20 13:47:10.095][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 부양초등학교 발견 
[2023-02-20 13:47:10.096][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 동두천여자중학교 발견 
[2023-02-20 13:47:10.096][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 부원여자중학교 발견 
[2023-02-20 13:47:10.096][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
